ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-03-26,132.54482715537083,122.69949658033016,145.07939364375383,132.54482715537083,132.54482715537083,0.0,0.0,0.0,0.0,0.0,0.0,132.54482715537083
1970-03-27,132.57958637691294,121.57831996459493,143.73556334430216,132.57958637691294,132.57958637691294,0.0,0.0,0.0,0.0,0.0,0.0,132.57958637691294
1970-04-01,132.75341499651617,120.7723461794973,144.67430839954255,132.75341499651617,132.75341499651617,0.0,0.0,0.0,0.0,0.0,0.0,132.75341499651617
1970-04-02,132.78818276024546,123.97021655003277,146.14259148254848,132.78818276024546,132.78818276024546,0.0,0.0,0.0,0.0,0.0,0.0,132.78818276024546
1970-04-08,132.99678934262135,123.21463946652572,144.57242786617493,132.99678934262135,132.99678934262135,0.0,0.0,0.0,0.0,0.0,0.0,132.99678934262135
1970-05-24,134.59611728809688,125.06918226896944,150.70650226662582,134.59611728809688,134.59611728809688,0.0,0.0,0.0,0.0,0.0,0.0,134.59611728809688
1970-05-25,134.6308852868303,125.1787311765825,146.0871739937038,134.6308852868303,134.6308852868303,0.0,0.0,0.0,0.0,0.0,0.0,134.6308852868303
1970-06-02,134.90902927669794,122.61302013745083,148.0786893555191,134.90902927669794,134.90902927669794,0.0,0.0,0.0,0.0,0.0,0.0,134.90902927669794
1970-06-03,134.94379727548983,123.67351478773035,145.72704922815203,134.94379727548983,134.94379727548983,0.0,0.0,0.0,0.0,0.0,0.0,134.94379727548983
1970-06-05,135.01335917909967,125.05198311200137,145.55900241580218,135.01335917909967,135.01335917909967,0.0,0.0,0.0,0.0,0.0,0.0,135.01335917909967
1970-06-07,135.08292108270948,124.03150036007658,145.08990816877426,135.08292108270948,135.08292108270948,0.0,0.0,0.0,0.0,0.0,0.0,135.08292108270948
1970-06-16,135.39594965140475,123.12467263533725,146.97651760440343,135.39594965140475,135.39594965140475,0.0,0.0,0.0,0.0,0.0,0.0,135.39594965140475
1970-06-17,135.430730603482,121.0722620828363,144.0213715118505,135.430730603482,135.430730603482,0.0,0.0,0.0,0.0,0.0,0.0,135.430730603482
1970-06-20,135.53507345971377,122.56228000102143,144.41191215016346,135.53507345971377,135.53507345971377,0.0,0.0,0.0,0.0,0.0,0.0,135.53507345971377
1970-06-22,135.60463536386825,127.16963687390013,147.67194798881673,135.60463536386825,135.60463536386825,0.0,0.0,0.0,0.0,0.0,0.0,135.60463536386825
1970-06-23,135.6394163159455,125.70597093246556,147.720365938217,135.6394163159455,135.6394163159455,0.0,0.0,0.0,0.0,0.0,0.0,135.6394163159455
1970-07-11,136.26547345333603,125.49233854734923,144.94659429076864,136.26547345333603,136.26547345333603,0.0,0.0,0.0,0.0,0.0,0.0,136.26547345333603
1970-07-18,136.5089401178768,126.70160269676208,147.3388895653268,136.5089401178768,136.5089401178768,0.0,0.0,0.0,0.0,0.0,0.0,136.5089401178768
1970-07-19,136.54372106995405,125.95799597242545,145.8818111306552,136.54372106995405,136.54372106995405,0.0,0.0,0.0,0.0,0.0,0.0,136.54372106995405
1970-07-22,136.64806392618578,124.38346833066772,149.41088172594561,136.64806392618578,136.64806392618578,0.0,0.0,0.0,0.0,0.0,0.0,136.64806392618578
1970-09-17,138.63057819458908,126.551216898954,148.98608977861213,138.63057819458908,138.63057819458908,0.0,0.0,0.0,0.0,0.0,0.0,138.63057819458908
1970-09-18,138.66535914666636,127.29357752207328,149.26600626815508,138.66535914666636,138.66535914666636,0.0,0.0,0.0,0.0,0.0,0.0,138.66535914666636
1970-09-19,138.7001400987436,125.87991918565257,148.2715814702521,138.7001400987436,138.7001400987436,0.0,0.0,0.0,0.0,0.0,0.0,138.7001400987436
1970-09-20,138.73492105082084,127.29391143122827,148.33126839021546,138.734920911882,138.73492105082084,0.0,0.0,0.0,0.0,0.0,0.0,138.73492105082084
1970-09-21,138.7697020028981,126.51755718687424,150.45496965451386,138.76970148314965,138.7697020028981,0.0,0.0,0.0,0.0,0.0,0.0,138.7697020028981
1970-09-22,138.80448295497536,126.99005752141468,149.32081171890036,138.80448207884135,138.8044829638673,0.0,0.0,0.0,0.0,0.0,0.0,138.80448295497536
1970-09-23,138.83926390705258,128.22248171034505,148.37197422469333,138.8392627405033,138.8392648350139,0.0,0.0,0.0,0.0,0.0,0.0,138.83926390705258
1970-09-24,138.87404485912987,129.11108770335613,149.11667729606216,138.8740428345833,138.8740465210639,0.0,0.0,0.0,0.0,0.0,0.0,138.87404485912987
1970-09-25,138.9088258112071,126.46895928193885,148.1103377484432,138.90882287557764,138.90882846038417,0.0,0.0,0.0,0.0,0.0,0.0,138.9088258112071
1970-09-26,138.94360676328435,128.31508902627377,147.82268328450147,138.94360251722975,138.94361030151074,0.0,0.0,0.0,0.0,0.0,0.0,138.94360676328435
1970-09-27,138.9783877153616,126.88206417831151,150.82454617609608,138.97838269124156,138.97839253847252,0.0,0.0,0.0,0.0,0.0,0.0,138.9783877153616
